Date,Market,Symbol,Market Cap,PE,PEG,PBV,BVPS,Dividend Yield,12M Dividend Yield,Volume Turnover
21/10/2021,SET,STGT,"91,624,365,120",3.03,,2.37,13.51,8.19,16.77,0.68
21/10/2021,SET,SUPER,"25,708,504,721",12.83,-0.95,1.36,0.69,0.64,0.64,0.22
21/10/2021,SET,SYNEX,"20,506,141,185",27.7,0.65,5.71,4.24,2.23,2.4,0.15
21/10/2021,SET,TASCO,"29,041,852,888",7.36,0.1,1.99,9.25,8.7,8.42,0.81
21/10/2021,SET,TCAP,"41,361,638,484",10.61,-0.15,0.59,60.54,8.45,8.45,0.66
21/10/2021,SET,THANI,"23,671,457,872",13.1,-2.72,2.21,1.89,4.07,4.07,0.81
21/10/2021,SET,TISCO,"74,460,043,032",11.15,6.11,1.97,47.28,6.77,6.77,0.8
21/10/2021,SET,TKN,"9,315,000,000",63.6,-1.07,4.75,1.42,3.11,2.22,0.57
21/10/2021,SET,TOP,"118,831,623,602",8.83,-0.04,1.03,56.76,1.2,2.23,0.69
21/10/2021,SET,TQM,"31,950,000,000",40.8,1.56,12.87,8.28,2.02,2.44,0.08
21/10/2021,SET,TRUE,"136,142,236,828",,,1.66,2.46,1.72,1.72,0.79
21/10/2021,SET,TTB,"109,183,848,275",13.36,-0.52,0.53,2.13,3.97,3.97,0.17
21/10/2021,SET,TU,"99,253,762,317",12.64,0.26,1.71,12.14,3.46,4.09,0.46
21/10/2021,SET,TVO,"25,269,093,281",10.4,0.2,2.5,12.49,5.44,6.72,0.28
21/10/2021,SET,VGI,"54,680,902,246",49.99,6.53,3.44,1.85,0.96,0.96,0.46
21/10/2021,SET,WHA,"49,922,427,828",21.92,-3.93,1.74,1.92,3,3,0.57
